gas_price,gas_used,nonce
19226152595,700000,162,1
14293469254,300000,162413,1
11808865092,297160,8094,1
11895405903,500000,2297,1
9170477347,1437400,79676,1
9737590262,578551,809,1
9170477347,1437400,79675,1
8501513052,255650,11109,1
25000000000,220488,4744,1
42804137243,249112,33856,1
9443164257,251899,75,1
6113651565,280434,33855,1
7409348608,542895,80743,1
8878442701,208458,11108,1
19881210930,317162,29326,1
91911511405,500000,4198,1
7721417722,1000000,85724,1
10596318651,252594,10690,1
14507436556,269823,8827,1
16786012866,195229,11107,1
14433230850,300015,105038,1
15876553937,300015,61979,1
86800000000,382000,146884,1
11465373084,283174,14831,1
14431155366,242538,10497,1
50326149833,300001,5689,1
14431155366,247754,3589,1
16786388256,27938,175198,1
14640000000,150007,489,1
14943828207,49542,1087,1
10350000000,21000,4,1
10350000000,63209,3,1
10350000000,48792,445,1
19000000000,200000,182,1
30000000000,55000,134,1
36000000000,300000,18,1
40000000000,164641,4565,1
18890815468,21015,162408,1
96463032267,500000,51817,1
58423095777,315768,15090,1
12878462425,244506,100401,1
235313491422,169914,85506,1
11778922400,164795,3,1
8586059217,190334,85505,1
17171283234,500001,8019,1
24382275932,300015,61978,1
43168393415,700000,10499,1
18047862503,263395,41773,1
21123846065,500000,5015,1
34291044811,315926,71,1
11448078958,330556,72379,1
11448078957,330556,74670,1
12831246396,1683716,0,1
70022663944,400000,13034,1
15493066855,250000,44708152,1
15493066855,250000,44708151,1
15493066855,250000,44708150,1
15493066855,250000,44708149,1
15493066855,250000,44708148,1
15493066855,250000,44708147,1
15493066855,250000,44708146,1
15493066855,250000,44708145,1
15493066855,250000,44708144,1
15493066855,250000,44708143,1
15493066855,250000,44708142,1
15493066855,250000,44708141,1
15493066855,250000,44708140,1
15493066855,250000,44708139,1
15493066855,250000,44708138,1
11966587860,500000,4716,1
11966587861,500000,179818,1
13000000000,244836,179,1
1000000000000,63000,331650,1
24243477073,264648,101242,1
21516043710,21015,61976,1
26851400015,21015,162406,1
30545081866,226960,10528,1
30000000000,210000,797474,1
30000000000,420000,1186359,1
40885000000,21000,40,1
13743687207,250000,44708137,1
13743687207,250000,44708136,1
13743687207,250000,44708135,1
13743687207,250000,44708134,1
13743687207,250000,44708133,1
13743687207,250000,44708132,1
13743687207,250000,44708131,1
13743687207,250000,44708130,1
13743687207,250000,44708129,1
13743687207,250000,44708128,1
13743687207,250000,44708127,1
13743687207,250000,44708126,1
13743687207,250000,44708125,1
13743687207,250000,44708124,1
13743687207,250000,44708123,1
13743687207,250000,44708122,1
13743687207,250000,44708121,1
13743687207,250000,44708120,1
13743687207,250000,44708119,1
13743687207,250000,44708118,1
13743687207,250000,44708117,1
13743687207,250000,44708116,1
13743687207,250000,44708115,1
13743687207,250000,44708114,1
13743687207,250000,44708113,1
13743687207,250000,44708112,1
13743687207,250000,44708111,1
13743687207,250000,44708110,1
13743687207,250000,44708109,1
13743687207,250000,44708108,1
13743687207,250000,44708107,1
13743687207,250000,44708106,1
13743687207,250000,44708105,1
13743687207,250000,44708104,1
13743687207,250000,44708103,1
13743687207,250000,44708102,1
13743687207,250000,44708101,1
13743687207,250000,44708100,1
13743687207,250000,44708099,1
13743687207,250000,44708098,1
13743687207,250000,44708097,1
13743687207,250000,44708096,1
13743687207,250000,44708095,1
13743687207,250000,44708094,1
13743687207,250000,44708093,1
13743687207,250000,44708092,1
13743687207,250000,44708091,1
13743687207,250000,44708090,1
13743687207,250000,44708089,1
13743687207,250000,44708088,1
13743687207,250000,44708087,1
13743687207,250000,44708086,1
13743687207,250000,44708085,1
13743687207,250000,44708084,1
13743687207,250000,44708083,1
13743687207,250000,44708082,1
13743687207,250000,44708081,1
13743687207,250000,44708080,1
13743687207,250000,44708079,1
13743687207,250000,44708078,1
13743687207,250000,44708077,1
13743687207,250000,44708076,1
13743687207,250000,44708075,1
13743687207,250000,44708074,1
13743687207,250000,44708073,1
13743687207,250000,44708072,1
13743687207,250000,44708071,1
13743687207,250000,44708070,1
13743687207,250000,44708069,1
13743687207,250000,44708068,1
13743687207,250000,44708067,1
13743687207,250000,44708066,1
13743687207,250000,44708065,1
13743687207,250000,44708064,1
13743687207,250000,44708063,1
13743687207,250000,44708062,1
13743687207,250000,44708061,1
13743687207,250000,44708060,1
13743687207,250000,44708059,1
13743687207,250000,44708058,1
13743687207,250000,44708057,1
13743687207,250000,44708056,1
13743687207,250000,44708055,1
13743687207,250000,44708054,1
13743687207,250000,44708053,1
13743687207,250000,44708052,1
13743687207,250000,44708050,1
13743687207,250000,44708049,1
13743687207,250000,44708048,1
13743687207,250000,44708047,1
13743687207,250000,44708046,1
13743687207,250000,44708045,1
13743687207,250000,44708044,1
13743687207,250000,44708043,1
13743687207,250000,44708042,1
13743687207,250000,44708041,1
13743687207,250000,44708040,1
13743687207,250000,44708051,1
67747652002,500000,1596,1
11807765404,247758,10463,1
12598267366,300015,30118,1
17743228720,300015,61975,1
12384215041,222002,10481,1
12515875518,221230,10899,1
13768750091,247680,10825,1
13825020418,247452,10927,1
19172593033,307602,10742,1
7108286788,912775,10060,1
12831246396,2075068,0,1
7108286788,1117549,10059,1
32867814626,500000,2296,1
14615600782,500000,4784,1
18000000000,90000,3476,1
9183364426,404733,45498,1
80028362589,228263,115637,1
25870000000,222196,308,1
7958062761,240714,115636,1
11937094141,238082,76130,1
13893043374,150584,5459,1
28112811849,155412,85504,1
13634989475,406086,103,1
10111671265,175350,85503,1
16890880926,315394,8826,1
27696596299,200000,1304,1
517232935544,249160,33854,1
18526513444,217822,459,1
10111671265,280482,33853,1
14623995970,156563,4564,1
15380250173,305918,289,1
15380250173,48897,288,1
12710927446,352006,6,1
15380250173,396935,277,1
16918290571,45038,636,1
16918290571,305947,51,1
16918290571,48897,50,1
10987779191,294020,5,1
14048488173,500000,4859,1
14048488173,500000,2484,1
