gas_price,gas_used,nonce
13743687207,250000,44708137
13743687207,250000,44708136
13743687207,250000,44708135
13743687207,250000,44708134
13743687207,250000,44708133
13743687207,250000,44708132
13743687207,250000,44708131
13743687207,250000,44708130
13743687207,250000,44708129
13743687207,250000,44708128
13743687207,250000,44708127
13743687207,250000,44708126
13743687207,250000,44708125
13743687207,250000,44708124
13743687207,250000,44708123
13743687207,250000,44708122
13743687207,250000,44708121
13743687207,250000,44708120
13743687207,250000,44708119
13743687207,250000,44708118
13743687207,250000,44708117
13743687207,250000,44708116
13743687207,250000,44708115
13743687207,250000,44708114
13743687207,250000,44708113
13743687207,250000,44708112
13743687207,250000,44708111
13743687207,250000,44708110
13743687207,250000,44708109
13743687207,250000,44708108
13743687207,250000,44708107
13743687207,250000,44708106
13743687207,250000,44708105
13743687207,250000,44708104
13743687207,250000,44708103
13743687207,250000,44708102
13743687207,250000,44708101
13743687207,250000,44708100
13743687207,250000,44708099
13743687207,250000,44708098
13743687207,250000,44708097
13743687207,250000,44708096
13743687207,250000,44708095
13743687207,250000,44708094
13743687207,250000,44708093
13743687207,250000,44708092
13743687207,250000,44708091
13743687207,250000,44708090
13743687207,250000,44708089
13743687207,250000,44708088
13743687207,250000,44708087
13743687207,250000,44708086
13743687207,250000,44708085
13743687207,250000,44708084
13743687207,250000,44708083
13743687207,250000,44708082
13743687207,250000,44708081
13743687207,250000,44708080
13743687207,250000,44708079
13743687207,250000,44708078
13743687207,250000,44708077
13743687207,250000,44708076
13743687207,250000,44708075
13743687207,250000,44708074
13743687207,250000,44708073
13743687207,250000,44708072
13743687207,250000,44708071
13743687207,250000,44708070
13743687207,250000,44708069
13743687207,250000,44708068
13743687207,250000,44708067
13743687207,250000,44708066
13743687207,250000,44708065
13743687207,250000,44708064
13743687207,250000,44708063
13743687207,250000,44708062
13743687207,250000,44708061
13743687207,250000,44708060
13743687207,250000,44708059
13743687207,250000,44708058
13743687207,250000,44708057
13743687207,250000,44708056
13743687207,250000,44708055
13743687207,250000,44708054
13743687207,250000,44708053
13743687207,250000,44708052
13743687207,250000,44708050
13743687207,250000,44708049
13743687207,250000,44708048
13743687207,250000,44708047
13743687207,250000,44708046
13743687207,250000,44708045
13743687207,250000,44708044
13743687207,250000,44708043
13743687207,250000,44708042
13743687207,250000,44708041
13743687207,250000,44708040
13743687207,250000,44708051
67747652002,500000,1596
11807765404,247758,10463
12598267366,300015,30118
17743228720,300015,61975
12384215041,222002,10481
12515875518,221230,10899
13768750091,247680,10825
13825020418,247452,10927
19172593033,307602,10742
7108286788,912775,10060
